,D_home,GA_home,GD_home,GF_home,GP_home,L_home,Pts_home,W_home,team,year,D_away,GA_away,GD_away,GF_away,GP_away,L_away,Pts_away,W_away,ppg_away,ppg_home,ppg_home_away_diff,Avg_all,BTS_all,CS_all,FTS_all,GP_all,LTN_all,WTN_all,g_0.5+_all,g_1.5+_all,g_2.5+_all,g_3.5+_all,g_4.5+_all,g_5.5+_all,g_6.5+_all,Avg_home,BTS_home,CS_home,FTS_home,LTN_home,WTN_home,g_0.5+_home,g_1.5+_home,g_2.5+_home,g_3.5+_home,g_4.5+_home,g_5.5+_home,g_6.5+_home,Avg_away,BTS_away,CS_away,FTS_away,LTN_away,WTN_away,g_0.5+_away,g_1.5+_away,g_2.5+_away,g_3.5+_away,g_4.5+_away,g_5.5+_away,g_6.5+_away,Avg_htime,BTS_htime,CS_htime,FTS_htime,LTN_htime,WTN_htime,g_0.5+_htime,g_1.5+_htime,g_2.5+_htime,g_3.5+_htime,g_4.5+_htime,g_5.5+_htime,g_6.5+_htime,half_1_con,half_1_goal,half_2_con,half_2_goal,min_0-15_con,min_0-15_goal,min_16-30_con,min_16-30_goal,min_31-45_con,min_31-45_goal,min_46-60_con,min_46-60_goal,min_61-75_con,min_61-75_goal,min_76-90_con,min_76-90_goal
0,1,12,43,55,19,0,55,18,Manchester City,2012,4,17,21,38,19,5,34,10,1.79,2.89,1.1,3.21,0.45,0.45,0.13,38,0.11,0.42,0.97,0.76,0.61,0.42,0.26,0.13,0.05,3.53,0.42,0.58,0.0,0.0,0.58,1.0,0.89,0.79,0.47,0.26,0.11,0.0,2.89,0.47,0.32,0.26,0.21,0.26,0.95,0.63,0.42,0.37,0.26,0.16,0.11,0.95,0.13,0.87,0.39,0.0,0.47,0.61,0.29,0.05,0.0,0.0,0.0,0.0,6.0,30.0,23.0,63.0,0.0,5.0,1.0,12.0,5.0,13.0,8.0,19.0,8.0,22.0,7.0,22.0
1,2,19,33,52,19,2,47,15,Manchester Utd,2012,3,14,23,37,19,3,42,13,2.21,2.47,0.26,3.21,0.39,0.53,0.08,38,0.08,0.53,1.0,0.79,0.53,0.34,0.26,0.11,0.08,3.74,0.42,0.58,0.0,0.0,0.58,1.0,0.89,0.58,0.42,0.32,0.16,0.16,2.68,0.37,0.47,0.16,0.16,0.47,1.0,0.68,0.47,0.26,0.21,0.05,0.0,1.26,0.08,0.79,0.32,0.13,0.61,0.82,0.29,0.13,0.03,0.0,0.0,0.0,8.0,40.0,25.0,49.0,0.0,10.0,2.0,13.0,6.0,17.0,9.0,14.0,6.0,17.0,10.0,18.0
2,3,17,22,39,19,3,42,13,Tottenham,2012,6,24,3,27,19,6,27,7,1.42,2.21,0.79,2.82,0.55,0.37,0.16,38,0.08,0.29,0.92,0.82,0.53,0.34,0.13,0.05,0.03,2.95,0.53,0.47,0.0,0.0,0.47,1.0,0.89,0.53,0.37,0.11,0.05,0.0,2.68,0.58,0.26,0.32,0.16,0.11,0.84,0.74,0.53,0.32,0.16,0.05,0.05,1.18,0.13,0.68,0.45,0.18,0.42,0.74,0.34,0.05,0.05,0.0,0.0,0.0,15.0,30.0,26.0,36.0,3.0,11.0,5.0,7.0,7.0,12.0,12.0,6.0,7.0,22.0,7.0,8.0
3,4,17,22,39,19,3,40,12,Arsenal,2012,3,32,3,35,19,7,30,9,1.58,2.11,0.53,3.24,0.61,0.34,0.13,38,0.05,0.26,0.92,0.76,0.66,0.26,0.21,0.16,0.13,2.95,0.53,0.42,0.11,0.05,0.37,0.95,0.74,0.58,0.21,0.16,0.16,0.11,3.53,0.68,0.26,0.16,0.05,0.16,0.89,0.79,0.74,0.32,0.26,0.16,0.16,1.58,0.45,0.5,0.34,0.05,0.21,0.71,0.55,0.21,0.11,0.0,0.0,0.0,26.0,34.0,23.0,40.0,9.0,12.0,8.0,11.0,9.0,11.0,5.0,10.0,9.0,14.0,9.0,16.0
4,3,24,17,41,19,4,39,12,Chelsea,2012,7,22,2,24,19,6,25,6,1.32,2.05,0.73,2.92,0.63,0.26,0.21,38,0.11,0.16,0.89,0.76,0.58,0.29,0.18,0.13,0.05,3.42,0.68,0.26,0.11,0.05,0.21,0.95,0.84,0.74,0.37,0.21,0.16,0.11,2.42,0.58,0.26,0.32,0.16,0.11,0.84,0.68,0.42,0.21,0.16,0.11,0.0,1.18,0.11,0.68,0.55,0.21,0.34,0.66,0.32,0.16,0.05,0.0,0.0,0.0,16.0,29.0,30.0,36.0,6.0,9.0,5.0,9.0,5.0,11.0,6.0,15.0,4.0,5.0,20.0,16.0
5,5,17,12,29,19,3,38,11,Newcastle Utd,2012,3,34,-7,27,19,8,27,8,1.42,2.0,0.58,2.82,0.5,0.39,0.18,38,0.11,0.32,0.92,0.82,0.55,0.34,0.11,0.05,0.03,2.42,0.42,0.47,0.21,0.11,0.37,0.89,0.74,0.53,0.21,0.05,0.0,0.0,3.21,0.58,0.32,0.16,0.11,0.26,0.95,0.89,0.58,0.47,0.16,0.11,0.05,1.37,0.18,0.61,0.47,0.21,0.34,0.74,0.42,0.16,0.05,0.0,0.0,0.0,24.0,28.0,27.0,28.0,6.0,10.0,6.0,10.0,12.0,8.0,6.0,7.0,11.0,10.0,10.0,11.0
6,5,26,10,36,19,4,35,10,Fulham,2012,5,25,-13,12,19,10,17,4,0.89,1.84,0.95,2.61,0.45,0.29,0.34,38,0.26,0.21,0.92,0.79,0.47,0.24,0.11,0.05,0.03,3.26,0.63,0.26,0.16,0.11,0.21,0.95,0.89,0.68,0.37,0.21,0.11,0.05,1.95,0.26,0.32,0.53,0.42,0.21,0.89,0.68,0.26,0.11,0.0,0.0,0.0,1.13,0.05,0.58,0.68,0.37,0.26,0.68,0.34,0.11,0.0,0.0,0.0,0.0,23.0,20.0,28.0,28.0,6.0,7.0,5.0,4.0,12.0,9.0,7.0,9.0,4.0,9.0,17.0,10.0
7,3,15,13,28,19,6,33,10,Everton,2012,8,25,-3,22,19,6,23,5,1.21,1.74,0.53,2.37,0.45,0.32,0.26,38,0.24,0.29,0.97,0.71,0.34,0.24,0.03,0.03,0.03,2.26,0.37,0.37,0.26,0.26,0.37,1.0,0.63,0.37,0.26,0.0,0.0,0.0,2.47,0.53,0.26,0.26,0.21,0.21,0.95,0.79,0.32,0.21,0.05,0.05,0.05,0.92,0.16,0.61,0.61,0.24,0.24,0.63,0.24,0.05,0.0,0.0,0.0,0.0,17.0,18.0,23.0,32.0,3.0,3.0,4.0,8.0,10.0,7.0,4.0,7.0,12.0,9.0,7.0,16.0
8,7,18,9,27,19,4,31,8,Swansea City,2012,4,33,-16,17,19,11,16,4,0.84,1.63,0.79,2.5,0.37,0.37,0.39,38,0.26,0.24,0.87,0.74,0.39,0.26,0.13,0.05,0.03,2.37,0.37,0.47,0.32,0.16,0.32,0.84,0.68,0.32,0.21,0.16,0.05,0.05,2.63,0.37,0.26,0.47,0.37,0.16,0.89,0.79,0.47,0.32,0.11,0.05,0.0,1.11,0.13,0.61,0.61,0.26,0.26,0.66,0.29,0.08,0.03,0.03,0.03,0.0,21.0,21.0,30.0,23.0,7.0,9.0,6.0,4.0,8.0,8.0,10.0,10.0,10.0,4.0,10.0,9.0
9,8,20,5,25,19,4,29,7,Stoke City,2012,4,33,-22,11,19,11,16,4,0.84,1.53,0.69,2.34,0.5,0.24,0.34,38,0.26,0.16,0.92,0.74,0.42,0.21,0.05,0.0,0.0,2.37,0.63,0.32,0.16,0.05,0.21,0.89,0.74,0.42,0.26,0.05,0.0,0.0,2.32,0.37,0.16,0.53,0.47,0.11,0.95,0.74,0.42,0.16,0.05,0.0,0.0,1.13,0.13,0.47,0.71,0.39,0.16,0.68,0.37,0.08,0.0,0.0,0.0,0.0,29.0,14.0,24.0,22.0,7.0,5.0,11.0,4.0,11.0,5.0,7.0,4.0,6.0,9.0,11.0,9.0
